Group,Date,Location,Latitude,Longitude,Target/Event,Killed,Injured,Claimed?,Notes,References Link
JMB,06-Dec-02,Mymensingh,24.7459528,90.417854,4 Cinema Halls,27,200,No,"Multiple 
cinema halls bombed, targeting cultural freedom.",
JMB,1-Apr-2004,"Coordinated attacks against 
leftist groups, killing many in Bagamara",24.54420545,88.77729994,Lenin-Karl-Marxists (Communists) Sarbohara (Communists - Naxalites),24,300,Yes,"Coordinated attacks against 
leftist groups, killing many.",
HJB,21-Aug-04,Dhaka,23.72660935,90.41123532,Awami League Rally,24,300,No,"High-profile attack on a rally led by Sheikh Hasina, former Prime Minister.",https://en.wikipedia.org/wiki/2004_Dhaka_grenade_attack
ISG,1-Jul-16,Dhaka,23.79593813,90.41323765,Holy Artisan Bakery Attack,24,0,Yes,"The assailants entered the bakery with crude bombs, machetes, pistols, and took several dozen hostages (foreigners and locals).",https://en.wikipedia.org/wiki/July_2016_Dhaka_attack
HJB,16-Jun-01,Narayanganj,23.642881,90.488286,Awami League Office,22,100,No,"Bombing at an Awami League office, escalating political violence.",
HJB,06-Mar-99,Jessore,23.1640643,89.20645,Udichi Event,10,150,No,"A bomb attack during an Udichi cultural event, causing numerous casualties.",
HJB,03-Jun-01,Gopalganj,23.10824,89.7891,Church,10,26,No,"A church was bombed, targeting the Christian community.",
HJB,08-Oct-99,Khulna,22.8373287,89.5400472,Ahmadiyya Mosque,8,30,No,"Attack on an 
Ahmadiyya mosque, highlighting religious tensions.",
HJB,14-Apr-01,Dhaka,23.73554057,90.40136571,"Chhayanaut Event (Pahela Baishakh, Ramna Park)",8,50,No,"Attack during the celebration of the 
Bengali New Year at Ramna Park.",https://en.wikipedia.org/wiki/2001_Ramna_Batamul_bombings
HJB,23-Sep-01,Bagerhat,22.6551705,89.7779774,Awami League Rally,8,100,No,"Bomb attack on an Awami League political rally, causing significant casualties.",
JMB,29-Nov-05,Gazipur,23.9905079,90.3877184,Lawyers,8,48,Yes,"Bomb attack in a courthouse, killing 
lawyers and litigants.",
JMB,08-Dec-05,Netrokona,24.8820862,90.723087,Udichi Event,8,50,Yes,"Cultural activists attacked at an Udichi event, part of a broader attack on culture.",
JMB,17-Jan-03,Tangail,24.2514853,89.9198043,Fila Pagla's Shrine,7,10,No,"Bomb explosion at a religious shrine, affecting pilgrims.",
ISG,25-Mar-17,South Surma,24.8149694,91.9051478,Suspected Terrorist Hideout,6,40,Yes,,
HJB,20-Jan-01,Dhaka,23.72841733,90.41545805,Communist Party Rally,5,70,No,"Bomb attack on a 
Communist Party rally, illustrating political violence.",https://en.wikipedia.org/wiki/2001_bombing_on_Communist_Party_of_Bangladesh
JMB,22-Jan-03,Joypurhat,25.102406,89.0269453,Kalai Khana Pir's Shrine (5 Servants),5,0,No,Servants at a shrine were beheaded in an extremist attack.,
HJB,27-Jan-05,Habiganj,24.3896201,91.4126221,Awami League Rally - Shah AMS Kibria,5,50,No,Bomb attack targeting former Finance Minister Shah AMS Kibria at an Awami League rally.,
JMB,21-Dec-13,Dhaka,23.72017975,90.42517675,Lutfar Rahman Faruqi and 4 Followers,6,0,Yes,Self-proclaimed Mahadi and five others slaughtered in capital,https://www.dhakatribune.com/bangladesh/crime/47598/self-proclaimed-pir-and-five-others-slaughtered-in
HJB,26-Sep-01,Sunamganj,25.0666548,91.4072392,Awami League Rally,4,0,No,"Another bomb attack on an Awami League event, with fatalities.",
JMB,28-Sep-02,Satkhira,22.7216954,89.0682055,Cinema Hall & Circus,3,100,No,Bombings at entertainment venues to discourage what was considered un-Islamic activities.,
JMB,12-Jan-04,Sylhet,24.9047808,91.8600079,Shah Jalal Shrine,3,50,No,"Bomb attack at the sacred Shah Jalal Shrine, causing deaths and injuries.",
HJB,21-May-04,Sylhet,24.9047808,91.8600079,British High Commissioner (Shah Jalal Shrine),3,70,No,Attack during a visit to Shah Jalal Shrine by British High Commissioner Anwar Choudhury.,
JMB,17-Aug-05,Nationwide,,,Series of Sound Blasts,3,100,Yes,Coordinated bomb blasts across the country demanding the implementation of Islamic law.,
JMB,30-Oct-09,Sylhet,24.9047808,91.8600079,Shah Jalal Shrine,3,30,No,"Another bomb attack at the Shah Jalal Shrine, showing persistent threats to religious sites.",
ISG,7-Jul-16,Kishorogng,24.4336739,90.7851766,Sholakia Eidgah,3,0,Yes,,https://www.somoynews.tv/news/2024-07-07/RM3KBBMJ
HJB,15-Mar-99,Sylhet,24.9047808,91.8600079,Awami League MP Mahibor Rahman Manik's House,2,0,No,"Bomb attack targeting the residence of MP Mahibor Rahman Manik, resulting in two deaths.",http://news.bbc.co.uk/2/hi/south_asia/297168.stm
JMB,11-Mar-03,Khulna,22.8373287,89.5400472,Police Constables,2,0,No,"Bomb attack targeting police constables, part of a pattern against law enforcement.",
HJB,21-Jun-04,Sunamganj,25.0666548,91.4072392,Awami League Rally - Suranjit Sengupta,2,50,No,High-profile attack on Suranjit Sengupta during an Awami League rally.,
JMB,14-Nov-05,Jhalakathi,22.6411383,90.1987003,Judges,2,3,Yes,"Assassination of two judges, further intimidating the legal system.",
JMB,29-Nov-05,Chittagong,22.3752075,91.8348606,Police,2,16,Yes,"Attack on police, part of ongoing violence against law enforcement.",
JMB,01-Dec-05,Gazipur,23.9905079,90.3877184,District Administrator Office,2,25,Yes,"Suicide bombing at a government office, targeting officials.",
ISG,23-Oct-15,Dhaka,23.72303096,90.3979229,Hussni Dalan - Tajia Rally,2,60,Yes,"Bombing during a Shia mourning procession, targeting religious minorities.",https://www.bbc.com/bengali/news-60748222
AQS,31-Oct-15,Dhaka,23.73790295,90.39004581,Faisal Arefin Dipan & Ahmedur Rashid Chowdhury (Tutul),2,0,Yes,"Publishers killed for their work with secular literature, part of systematic targeting.",https://simple.wikipedia.org/wiki/Murder_of_Faisal_Abedin_Deepan
AQS,25-Apr-16,Dhaka,23.74916536,90.38286139,LGBTQ Activist Xulhaz Mannan & Tonoy,2,1,Yes,"In a gruesome double murder incident, Xulhaz Mannan and Mahbub Rabby Tonoy were hacked to death inside Xulhazâ€™s apartment at Kalabagan",https://en.wikipedia.org/wiki/Xulhaz_Mannan
ISG,21-May-16,Kushtia,23.9088541,89.1221818,Homeopath Dr. Sanaur Rahman & Saifuzzaman,2,1,Yes,Dr. Sanaur Rahman & a boy was killed,https://www.reuters.com/article/us-bangladesh-attacks/bangladesh-village-doctor-hacked-to-death-in-suspected-islamist-attack-idUSKCN0YB0OA/
ISG,14-Mar-17,Dinajpur,25.6221484,88.6437963,Sufi Spiritual Leader and Daughter,2,0,No,Shooting and stabbing attack,
JMB,1-Mar-03,Khulna,22.8373287,89.5400472,Police Sergeant,1,0,No,Targeted killing of a police sergeant with a bomb.,
JMB,12-Mar-03,Khulna,22.8373287,89.5400472,Police Sub-Inspector,1,0,No,Another attack on a police sub-inspector with a bomb.,
HJB,13-Jan-04,Benapole,23.04241439,88.89961227,Awami League Leader Fazlur Rahman,1,6,No,"Bomb attack targeting Awami League leader Fazlur Rahman, escalating political tension.",
HJB,4-Mar-04,Narayanganj,23.642881,90.488286,Awami League Leader,1,0,No,"Assassinated Awami League leader, showing targeted political violence.",https://archive.thedailystar.net/2004/03/04/d40304012727.htm
HJB,4-Mar-04,Bagerhat,22.6551705,89.7779774,Awami League Leader,1,3,No,"Bomb attacks on Awami League members, further political targeting.",https://archive.thedailystar.net/2004/03/04/d40304012727.htm
JMB,4-Aug-04,Sylhet,24.9047808,91.8600079,Rangmahal and Monica Cinemas,1,10,No,"Bomb attacks on cinemas, targeting cultural entertainment.",
HJB,07-Aug-04,Sylhet,24.9047808,91.8600079,Awami League Rally,1,40,No,Bomb attack on another Awami League rally.,
JMB,18-Sep-04,Jamalpur,24.9270097,89.948042,Gani Gomez (Josem Mandal),1,0,Yes,"Killed for apostasy, accused of converting others from Islam.",
JMB,23-Nov-04,Tangail,24.2514853,89.9198043,Homeopath Dr. Moniruzzaman,1,0,Yes,"Dr. Moniruzzaman was killed for his book ""Meye Tumi Manush Chhile Kobe,"" which was seen as blasphemous by extremists.",
JMB,24-Dec-04,Rajshahi,24.3746497,88.6003665,"Professor Yunus, RU",1,0,Yes,"Assassination of Professor Mohammad Yunus, an academic known for his liberal views.",
JMB,14-Apr-05,Jamalpur,24.9270097,89.948042,Hridoy Roy (Christian Convert),1,0,No,"Hridoy Roy was killed for converting others to Christianity, highlighting religious persecution.",
JMB,03-Oct-05,Lakshmipur,22.9454033,90.8341624,Judges,1,28,Yes,"Attack on judges, part of a campaign to intimidate the judiciary.",
JMB,03-Oct-05,Chandpur,23.2250228,90.6547361,Judges,1,6,Yes,"Another attack targeting 
judicial officials.",
JMB,11-Apr-07,Jhalakathi,22.6411383,90.1987003,Public Prosecutor Haider,1,0,Yes,"Assassination of Public Prosecutor Haider Hussain, shortly after the execution of a JMB leader.",
AQS,15-Feb-13,Dhaka,23.81539274,90.38062685,Ahmed Rajib Haider,1,0,No,"Ahmed Rajib Haider, a blogger critical of religious extremism, was assassinated.",https://en.wikipedia.org/wiki/Ahmed_Rajib_Haider
AQS,15-Nov-13,Rajshahi,24.3746497,88.6003665,Shafiul Islam,1,0,Yes,"Professor killed for enforcing a burka ban, indicating resistance to religious enforcement.",https://en.wikipedia.org/wiki/Murder_of_A._K._M._Shafiul_Islam
JMB,27-Aug-14,Dhaka,23.75327911,90.38629409,Nurul Islam Faruqi (TV Presenter),1,0,Yes,"Assassinated for promoting shrine culture, against JMB's ideology.",https://en.wikipedia.org/wiki/Nurul_Islam_Farooqi
AQS,26-Feb-15,Dhaka,23.73079281,90.39756338,Blogger Avijit Roy,1,0,Yes,"Assassination of Avijit Roy, known for his critique of religious fundamentalism.",https://en.wikipedia.org/wiki/Avijit_Roy
AQS,30-Mar-15,Dhaka,23.76467217,90.40434845,Washiqur Rahman,1,0,Yes,Another blogger killed for his writings against religious extremism.,"https://simple.wikipedia.org/wiki/Washiqur_Rahman#:~:text=Washiqur%20Rahman%20(Bengali%3A%20%E0%A6%93%E0%A6%AF%E0%A6%BC%E0%A6%BE%E0%A6%B6%E0%A6%BF%E0%A6%95%E0%A7%81%E0%A6%B0%20%E0%A6%B0%E0%A6%B9%E0%A6%AE%E0%A6%BE%E0%A6%A8,blog%20posts%20critical%20of%20Islam."
AQS,12-May-15,Sylhet,24.89965211,91.86961458,Ananta Bijoy Das,1,0,Yes,"Secular writer and blogger murdered, part of a series of attacks on secular voices.",https://www.bbc.com/news/world-asia-32701001
AQS,7-Aug-15,Dhaka,23.75206954,90.43365194,Niloy Chatterjee,1,0,Yes,Blogger killed for his advocacy of secularism and free speech.,https://simple.wikipedia.org/wiki/Niloy_Chatterjee
ISG,3-Oct-15,Rangpur,25.7493938,89.2610865,Kunio Hoshi,1,0,Yes,"Japanese agricultural worker killed, claimed by ISIS, targeting foreigners.",
JMB,5-Oct-15,Dhaka,23.77852572,90.42423617,Pir Khizir Khan (PDB Chairman),1,0,Yes,"Assassination of Pir Khizir Khan, who was seen as a supporter of a secular state.",Pir Khizir Khan (PDB Chairman)
ISG,15-Mar-16,Jhenaidah,23.5449979,89.1726111,Shia Preacher,1,0,Yes,"Shia preacher assassinated, claimed by ISIS, highlighting sectarian violence.",https://english.alarabiya.net/News/asia/2016/03/15/ISIS-claims-murder-of-Muslim-preacher-in-Bangladesh
ISG,22-Mar-16,Northern Bangladesh,23.684994,90.356331,Christian Convert,1,0,Yes,"Christian convert killed, claimed by ISIS, targeting religious conversion.",
AQS,6-Apr-16,Dhaka,23.71422459,90.42086395,Nazimuddin Samad,1,0,Yes,Student and blogger killed for his secular and progressive views.,https://simple.wikipedia.org/wiki/Nazimuddin_Samad
ISG,23-Apr-16,Rajshahi,24.3746497,88.6003665,Professor AFM Rezaul Karim Siddique,1,0,Yes,,
JMB,25-Apr-16,Gazipur,23.9905079,90.3877184,Sergeant Instructor Rustam Howlader,1,0,Yes,"Killed for enforcing ""man-made laws"" against jihadists",
ISG,30-Apr-16,Tangail,24.2514853,89.9198043,Hindu Tailor - Nikhil Joarder,1,0,Yes,,
JMB,7-May-16,Rajshahi,24.3746497,88.6003665,Shahidullah,1,0,Yes,Killed for claiming to ba a prophet ,
ISG,14-May-16,Bandarban,22.196146,92.2175885,Buddhist Monk - Maung Shue U Chak,1,0,Yes,,
ISG,15-May-16,Gaibandha,25.328978,89.5415074,Debesh Chandra Pramanik,1,0,Yes,,
ISG,7-Jun-16,Jhinadah,23.5449979,89.1726111,Ananda Gopal Ganguly,1,0,No,,
ISG,10-Jun-16,Pabna,24.012203,89.2467613,Nityaranjan Pande,1,0,No,,
ISG,15-Jun-16,Madaripur,23.1672303,90.1949869,Ripon Chakraborty,1,2,No,,
ISG,1-Jul-16,Satkhira,22.7216954,89.0682055,Shyamananda Das,1,3,No,,
ISG,2-Jul-16,Bandarban,22.196146,92.2175885,Buddhist Farme - Mong Shwe Lung Marma,1,0,Yes,a Buddhist farmer and the vice president of ward seven of the Awami league,
ISG,21-Oct-16,Panchagarh,26.335376,88.551698,Jogeshwar Roy,1,0,No,,
ISG,17-Mar-17,Dhaka,23.85118182,90.41045309,RAB Camp Suicide Bombing,1,2,No,Suicide bombing at RAB camp,https://en.wikipedia.org/wiki/2017_Dhaka_RAB_camp_suicide_bombing
ISG,24-Mar-17,Dhaka,23.851015,90.40964842,Police Checkpoint Suicide Bombing,1,0,No,,https://www.nytimes.com/2017/03/24/world/asia/dhaka-bangladesh-suicide-bomber.html
JMB,11-Jun-18,Munshigang,23.59825187,90.38601177,Shahjahan Bachchu,1,0,No,"Writer, publisher Shahjahan Bachchu targeted for ant-Islamic activities",https://www.thedailystar.net/tags/shahjahan-bachchu-murder
AQS,31-Oct-19,Dhaka,23.75669398,90.38693673,Ashik Mahmud Chowdhury & Shahaduj Jaman Shanto. ...,1,1,Yes,,https://en.wikipedia.org/wiki/Attacks_by_Islamic_extremists_in_Bangladesh
AQS,21-Jun-22,Satkhira,22.7216954,89.0682055,S M Saifur Rahman,0,1,No,He was attacked mainly for writing in favor of gay rights and women's freedom of dress,https://en.wikipedia.org/wiki/Attacks_by_Islamic_extremists_in_Bangladesh
HJB,18-Jan-99,Dhaka,23.77153397,90.36432015,Shamsur Rahman (Poet),0,0,No,"An attempted assassination of the renowned poet Shamsur Rahman, though he survived the attack.",https://en.wikipedia.org/wiki/Shamsur_Rahman_(poet)
JMB,24-Jan-04,Bagerhat,22.6551705,89.7779774,Police Camp,0,3,No,"Bomb attack on a police camp, injuring officers.",
JMB,20-Feb-04,Rupsha,22.8004577,89.5868179,Cinema House,0,4,No,"Bomb attack on a cinema house, aimed at cultural suppression.",
JMB,27-Feb-04,Dhaka,23.73387094,90.39274783,Humayun Azad (Author),0,0,Yes,"High-profile assassination attempt on writer Humayun Azad, who was known for his 
secular views.",https://en.wikipedia.org/wiki/Humayun_Azad
JMB,14-Feb-05,Dhaka,23.73370274,90.39778536,Valentine's Day Concert - Dhaka University,0,8,No,"Sound blast to disrupt a Valentine's Day event, showing opposition to Western cultural influence.",
AQS,5-Jan-13,Dhaka,23.72886721,90.42118258,Asif Mohiuddin,0,1,No,"Attack on blogger Asif Mohiuddin for his secular writings, although he survived.",https://en.wikipedia.org/wiki/Attacks_by_Islamic_extremists_in_Bangladesh
AQS,7-Mar-13,Dhaka,23.81966864,90.36574326,Sunnyur Rahaman,0,1,No,"Attack on activists, resulting in severe injuries.",https://en.wikipedia.org/wiki/Attacks_by_Islamic_extremists_in_Bangladesh
JMB,23-Feb-14,Mymensingh,24.7459528,90.417854,Prison Van Attack,0,4,Yes,"Attempt to free prisoners, showing the group's organizational capacity.",